userid,condition,choice,ID1,condition1,userid1,movie1,score1,movie2,score2,movie3,score3,movie4,score4,movie5,score5,movie6,score6,movie7,score7,movie8,score8,movie9,score9,movie10,score10,movie11,score11,movie12,score12,movie13,score13,movie14,score14,movie15,score15,movie16,score16,movie17,score17,movie18,score18,movie19,score19,movie20,score20,sat01,sat02,sat03,sat04,sat05,sat06,sat07,div08,div09,div10,div11,div12,div13,att14,att15,att16,att17,dif18,dif19,dif20,dif21,dif22,influ23,ratepos24,exp25,exp26,exp27,nrseen28,seen29,opmerkingen,rating,rec_set,recset,norating,size,Sat_comb,Diff_comb,Attr_comb,Var_comb,Sat_sep,Diff_sep,Attr_sep,Var_sep,freqpos1,freqpos2,freqpos3,freqpos4,freqpos5,freqpos6,freqpos7,freqpos8,freqpos9,freqpos10,freqpos11,freqpos12,freqpos13,freqpos14,freqpos15,freqpos16,freqpos17,freqpos18,freqpos19,freqpos20,durpos1,durpos2,durpos3,durpos4,durpos5,durpos6,durpos7,durpos8,durpos9,durpos10,durpos11,durpos12,durpos13,durpos14,durpos15,durpos16,durpos17,durpos18,durpos19,durpos20,choicepos,gender,age,totfreq,max_as1,max_as2,max_dif1,max_dif2,max_hs1,max_hs2,as,dif,hs,maxtot
212,Top20,crid://www.tue.nl/1089,99,showtop20,212,crid://www.tue.nl/3752,35,crid://www.tue.nl/3552,35,crid://www.tue.nl/2683,35,crid://www.tue.nl/2706,35,crid://www.tue.nl/1517,35,crid://www.tue.nl/104,35,crid://www.tue.nl/344,35,crid://www.tue.nl/19,35,crid://www.tue.nl/333,35,crid://www.tue.nl/3421,35,crid://www.tue.nl/216,35,crid://www.tue.nl/3785,35,crid://www.tue.nl/785,35,crid://www.tue.nl/1753,35,crid://www.tue.nl/2402,35,crid://www.tue.nl/296,35,crid://www.tue.nl/1923,35,crid://www.tue.nl/3146,35,crid://www.tue.nl/1089,34,crid://www.tue.nl/1977,34,5,5,6,5,6,2,5,5,5,1,5,5,4,5,1,5,3,1,1,6,2,1,5,0,4,2,2,8,1,,rating,Top20,1,0,20,0.56,0.02,0.9,0.76,0.85,0.28,0.6,0.64,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45,0,0,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19, m,24,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Top20_NR,crid://www.tue.nl/2571,96,hidetop20,28,crid://www.tue.nl/3753,43,crid://www.tue.nl/3578,42,crid://www.tue.nl/2028,42,crid://www.tue.nl/3147,42,crid://www.tue.nl/110,42,crid://www.tue.nl/356,42,crid://www.tue.nl/2706,41,crid://www.tue.nl/2762,41,crid://www.tue.nl/1917,41,crid://www.tue.nl/1101,41,crid://www.tue.nl/3916,41,crid://www.tue.nl/1704,41,crid://www.tue.nl/318,40,crid://www.tue.nl/1923,40,crid://www.tue.nl/2268,40,crid://www.tue.nl/733,40,crid://www.tue.nl/1610,40,crid://www.tue.nl/2571,40,crid://www.tue.nl/150,40,crid://www.tue.nl/805,40,5,5,6,5,5,0,0,5,5,1,3,1,5,5,0,5,4,5,2,4,4,3,5,5,4,1,2,8,1,NULL,no_rating,Top20,1,1,20,0.71,1.29,0.8,0.47,0.51,1.35,0.94,0.24,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.02,1.72,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,4.44,1.24,0,18, m,23,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,Top5_NR,crid://www.tue.nl/858,83,hidetop5,209,crid://www.tue.nl/858,37,crid://www.tue.nl/1208,36,crid://www.tue.nl/1221,36,crid://www.tue.nl/111,36,crid://www.tue.nl/1193,36,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,6,5,6,6,6,0,6,3,3,3,3,1,3,6,0,6,5,1,0,2,1,1,3,3,6,5,4,5,1,wat wordt bedoeld met 'overweldigend',no_rating,Top5,0,1,5,1.27,-0.97,1.44,-0.81,1.34,-0.88,1.78,-1.18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.43,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, m,29,2,5,3,3,5,4,5,4,4,4.5,4.166666667
94,Top20_NR,crid://www.tue.nl/2959,82,hidetop20,94,crid://www.tue.nl/2959,34,crid://www.tue.nl/1243,34,crid://www.tue.nl/2342,34,crid://www.tue.nl/2557,34,crid://www.tue.nl/567,34,crid://www.tue.nl/1430,34,crid://www.tue.nl/583,34,crid://www.tue.nl/3905,34,crid://www.tue.nl/557,34,crid://www.tue.nl/1575,34,crid://www.tue.nl/397,33,crid://www.tue.nl/3860,33,crid://www.tue.nl/1383,33,crid://www.tue.nl/578,33,crid://www.tue.nl/670,33,crid://www.tue.nl/2963,33,crid://www.tue.nl/2858,33,crid://www.tue.nl/823,33,crid://www.tue.nl/2931,33,crid://www.tue.nl/2813,33,3,4,4,2,2,5,1,4,4,3,4,3,2,3,3,4,3,1,1,1,1,1,3,5,5,2,4,4,1,ik heb niet precies geteld hoeveel films ik heb gezien...,no_rating,Top20,1,1,20,-1.86,-0.74,-0.14,-0.46,-1.83,-0.96,-0.18,-0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, f,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,Top5_NR,crid://www.tue.nl/318,79,hidetop5,76,crid://www.tue.nl/2858,44,crid://www.tue.nl/858,44,crid://www.tue.nl/318,44,crid://www.tue.nl/50,44,crid://www.tue.nl/296,43,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,5,5,3,3,1,6,5,5,1,5,3,5,5,1,4,4,3,0,0,1,0,1,1,5,3,4,1,Vraag 28,,no_rating,Top5,0,1,5,-0.37,-0.8,0.32,1,-0.61,-1.33,0.55,0.82,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, f,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Top5,crid://www.tue.nl/318,77,showtop5,176,crid://www.tue.nl/318,41,crid://www.tue.nl/2571,40,crid://www.tue.nl/110,40,crid://www.tue.nl/3578,40,crid://www.tue.nl/2762,39,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,5,5,4,5,4,5,4,3,2,4,4,4,5,1,4,3,2,1,2,1,0,5,3,5,3,3,4,1,Misschien is het handiger om de lijst met aanbevelingen naast de vragen te laten staan. Ik wist namelijk niet alle (wel bijna alle) filmtitels meer,rating,Top5,0,0,5,0.01,-0.56,0.51,-0.13,-0.05,-0.87,0.6,-0.21,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94,1.05,0,3.29,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, f,23,5,6,4,5,3,4,6,5,4,5,4.666666667
59,Top5,crid://www.tue.nl/1206,76,showtop5,59,crid://www.tue.nl/1206,45,crid://www.tue.nl/924,43,crid://www.tue.nl/1199,43,crid://www.tue.nl/541,43,crid://www.tue.nl/1208,42,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,6,6,6,5,5,6,6,1,1,4,2,0,2,4,0,2,4,1,0,2,1,0,4,5,3,0,1,1,0,NULL,rating,Top5,0,0,5,0.78,-1.25,-0.08,-1.86,0.67,-1.35,0.34,-1.95,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,1.47,11.59,4.65,10.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, m,24,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,Top20,crid://www.tue.nl/318,73,showtop20,199,crid://www.tue.nl/318,48,crid://www.tue.nl/527,46,crid://www.tue.nl/50,46,crid://www.tue.nl/2858,45,crid://www.tue.nl/670,45,crid://www.tue.nl/3022,44,crid://www.tue.nl/1207,44,crid://www.tue.nl/3030,44,crid://www.tue.nl/2019,44,crid://www.tue.nl/912,44,crid://www.tue.nl/1197,44,crid://www.tue.nl/1193,43,crid://www.tue.nl/3307,43,crid://www.tue.nl/2396,43,crid://www.tue.nl/954,43,crid://www.tue.nl/908,43,crid://www.tue.nl/1307,43,crid://www.tue.nl/3338,43,crid://www.tue.nl/2357,43,crid://www.tue.nl/953,42,6,4,6,6,6,1,6,6,6,0,6,2,6,5,0,5,4,2,1,3,4,2,5,3,4,2,2,3,1,"interessante manier om het keuzeproces te vergemakkelijken, ik denk alleen dat je beter al vantevoren op genre kunt selecteren zodat de uiteindelijke keuzelijst nog specifieker is.",rating,Top20,1,0,20,0.99,0.18,0.82,1.8,1.17,0.5,0.62,1.67,3,2,6,1,1,1,2,0,0,1,0,0,0,1,1,0,1,1,0,0,4.19,25.67,40.09,1.36,1.48,1.3,6.16,0,0,6.72,0,0,0,1.64,2.89,0,2.22,7.41,0,0,1, f,22,21,3,2,5,1,3,3,2.5,3,3,2.833333333
75,Lin20,crid://www.tue.nl/583,72,showexp20,75,crid://www.tue.nl/3905,36,crid://www.tue.nl/583,35,crid://www.tue.nl/2342,35,crid://www.tue.nl/2557,35,crid://www.tue.nl/557,35,crid://www.tue.nl/139,33,crid://www.tue.nl/2710,32,crid://www.tue.nl/1384,31,crid://www.tue.nl/756,31,crid://www.tue.nl/2859,30,crid://www.tue.nl/1673,30,crid://www.tue.nl/1949,29,crid://www.tue.nl/2683,29,crid://www.tue.nl/2132,28,crid://www.tue.nl/3153,28,crid://www.tue.nl/1129,28,crid://www.tue.nl/3471,27,crid://www.tue.nl/1962,27,crid://www.tue.nl/829,27,crid://www.tue.nl/1810,27,5,1,5,3,4,4,5,5,5,0,2,1,4,4,0,1,2,1,1,2,4,0,4,4,6,4,4,3,1,,rating,Lin20,2,0,20,-0.61,0.04,-0.36,0.4,-0.64,0.02,-0.43,0.41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, f,23,2,7,5,4,2,3,5,6,3,4,4.333333333
19,Top5_NR,crid://www.tue.nl/1707,71,hidetop5,19,crid://www.tue.nl/1707,42,crid://www.tue.nl/1495,41,crid://www.tue.nl/810,41,crid://www.tue.nl/1760,41,crid://www.tue.nl/1381,41,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,6,5,5,4,5,0,5,5,1,4,1,2,4,4,1,1,2,6,2,2,0,0,1,6,5,0,0,3,1,NULL,no_rating,Top5,0,1,5,0.61,0.39,-0.68,-1.22,0.17,-0.35,-0.12,-1.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, f,24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
