userid,condition,choice,ID1,condition1,userid1,movie1,score1,movie2,score2,movie3,score3,movie4,score4,movie5,score5,movie6,score6,movie7,score7,movie8,score8,movie9,score9,movie10,score10,movie11,score11,movie12,score12,movie13,score13,movie14,score14,movie15,score15,movie16,score16,movie17,score17,movie18,score18,movie19,score19,movie20,score20,sat01,sat02,sat03,sat04,sat05,sat06,sat07,div08,div09,div10,div11,div12,div13,att14,att15,att16,att17,dif18,dif19,dif20,dif21,dif22,influ23,ratepos24,exp25,exp26,exp27,nrseen28,seen29,opmerkingen,rating,rec_set,recset,norating,size,Sat_comb,Diff_comb,Attr_comb,Var_comb,Sat_sep,Diff_sep,Attr_sep,Var_sep,freqpos1,freqpos2,freqpos3,freqpos4,freqpos5,freqpos6,freqpos7,freqpos8,freqpos9,freqpos10,freqpos11,freqpos12,freqpos13,freqpos14,freqpos15,freqpos16,freqpos17,freqpos18,freqpos19,freqpos20,durpos1,durpos2,durpos3,durpos4,durpos5,durpos6,durpos7,durpos8,durpos9,durpos10,durpos11,durpos12,durpos13,durpos14,durpos15,durpos16,durpos17,durpos18,durpos19,durpos20,choicepos,gender,age,totfreq,max_as1,max_as2,max_dif1,max_dif2,max_hs1,max_hs2,as,dif,hs,maxtot
27,Top5,crid://www.tue.nl/858,67,showtop5,27,crid://www.tue.nl/858,37,crid://www.tue.nl/2019,37,crid://www.tue.nl/912,37,crid://www.tue.nl/923,37,crid://www.tue.nl/1204,37,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,5,5,5,5,2,5,5,4,3,2,4,5,5,1,5,6,1,1,1,1,1,2,4,5,3,3,3,1,NULL,rating,Top5,0,0,5,0.3,-1.03,0.97,-0.41,0.29,-0.93,1.38,-0.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, m,24,1,5,3,3,3,3,6,4,3,4.5,3.833333333
70,Top5,crid://www.tue.nl/3949,64,showtop5,70,crid://www.tue.nl/2692,37,crid://www.tue.nl/2997,37,crid://www.tue.nl/3949,37,crid://www.tue.nl/670,37,crid://www.tue.nl/3022,37,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,4,4,5,3,4,1,6,1,1,5,2,2,2,4,0,5,3,1,3,2,1,0,5,0,4,1,3,1,1,NULL,rating,Top5,0,0,5,-0.46,-0.17,0.56,-2.04,-0.68,-0.37,0.78,-2.23,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,7.97,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3, m,23,4,6,7,6,7,6,4,6.5,6.5,5,6
218,Lin20,crid://www.tue.nl/1246,59,showexp20,218,crid://www.tue.nl/1959,40,crid://www.tue.nl/329,40,crid://www.tue.nl/1373,39,crid://www.tue.nl/1035,39,crid://www.tue.nl/1371,39,crid://www.tue.nl/362,37,crid://www.tue.nl/2656,36,crid://www.tue.nl/1246,36,crid://www.tue.nl/2405,36,crid://www.tue.nl/191,35,crid://www.tue.nl/274,35,crid://www.tue.nl/1797,35,crid://www.tue.nl/358,35,crid://www.tue.nl/2562,35,crid://www.tue.nl/1549,35,crid://www.tue.nl/3163,35,crid://www.tue.nl/1826,34,crid://www.tue.nl/121,34,crid://www.tue.nl/3520,34,crid://www.tue.nl/993,34,4,4,5,4,3,5,5,4,3,3,4,2,2,2,3,3,1,2,1,2,2,1,2,1,5,2,4,2,0,,rating,Lin20,2,0,20,-0.81,-0.13,-0.77,-0.57,-0.67,-0.34,-0.98,-0.4,2,0,1,1,0,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,20.49,0,1.03,2.06,0,11.71,2.08,23.14,2.03,3.32,3.28,6.09,5.74,1.33,1.45,1.32,1.1,2.51,1.25,3.35,8, f,23,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,Top20,crid://www.tue.nl/2858,54,showtop20,60,crid://www.tue.nl/296,43,crid://www.tue.nl/858,42,crid://www.tue.nl/1208,41,crid://www.tue.nl/2858,41,crid://www.tue.nl/1213,41,crid://www.tue.nl/50,41,crid://www.tue.nl/1221,40,crid://www.tue.nl/1089,40,crid://www.tue.nl/1206,40,crid://www.tue.nl/111,40,crid://www.tue.nl/541,40,crid://www.tue.nl/608,39,crid://www.tue.nl/1252,39,crid://www.tue.nl/3338,39,crid://www.tue.nl/1222,38,crid://www.tue.nl/593,38,crid://www.tue.nl/1258,38,crid://www.tue.nl/1267,38,crid://www.tue.nl/923,38,crid://www.tue.nl/1248,38,5,4,5,3,4,4,6,3,3,3,3,2,4,5,0,4,2,4,1,3,3,0,3,4,5,2,3,10,1,NULL,rating,Top20,1,0,20,-0.41,0.57,0.6,-0.42,-0.59,0.04,0.55,-0.61,2,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,2.73,1.59,0,2.61,1.58,1.06,0,0,0,1.47,0,0,1.12,0,2.92,1.12,0,0,1.12,1.34,4, m,22,12,7,3,3,6,4,4,5,4.5,4,4.5
147,Lin20_NR,crid://www.tue.nl/527,49,hideexp20,147,crid://www.tue.nl/3022,41,crid://www.tue.nl/527,41,crid://www.tue.nl/670,40,crid://www.tue.nl/3307,40,crid://www.tue.nl/1178,40,crid://www.tue.nl/1960,38,crid://www.tue.nl/1449,37,crid://www.tue.nl/2932,36,crid://www.tue.nl/2819,36,crid://www.tue.nl/1387,35,crid://www.tue.nl/705,35,crid://www.tue.nl/1171,34,crid://www.tue.nl/2083,34,crid://www.tue.nl/2309,33,crid://www.tue.nl/425,33,crid://www.tue.nl/3304,33,crid://www.tue.nl/1159,32,crid://www.tue.nl/781,32,crid://www.tue.nl/1350,32,crid://www.tue.nl/726,31,4,4,6,5,5,2,5,5,5,1,5,0,3,3,1,2,2,1,2,1,1,1,2,5,5,3,4,0,0,,no_rating,Lin20,2,1,20,0.36,-0.64,-0.94,0.61,0.33,-0.49,-0.84,0.86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91,0,15.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, m,23,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Top5_NR,crid://www.tue.nl/2384,46,hidetop5,186,crid://www.tue.nl/3822,37,crid://www.tue.nl/1230,37,crid://www.tue.nl/126,37,crid://www.tue.nl/2632,36,crid://www.tue.nl/2384,36,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,4,6,6,3,3,3,4,1,5,1,1,2,2,1,3,3,1,3,0,0,1,1,3,3,1,1,1,10,1,-,no_rating,Top5,0,1,5,-0.22,-0.64,-1.47,-1.09,-0.57,-1.24,-1.21,-0.97,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09,2.89,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5, f,21,5,7,1,3,3,NA,6,4,3,6,4
244,Top5_NR,crid://www.tue.nl/2019,45,hidetop5,244,crid://www.tue.nl/3022,43,crid://www.tue.nl/2019,43,crid://www.tue.nl/50,42,crid://www.tue.nl/1212,42,crid://www.tue.nl/913,42,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,5,5,5,3,3,5,4,5,1,4,4,4,4,0,4,3,1,1,2,1,1,4,3,5,6,5,1,0,"Mijn uiteindelijke keuze was er een die ik al langer wil zien, maar nog nooit heb gezien, vandaar dat de keuze makkelijk was. Maar wel knap dat ik juist die als aanbeveling kreeg.",no_rating,Top5,0,1,5,-0.05,-0.79,0.22,0.4,-0.1,-0.76,0.16,0.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2, m,24,1,5,2,5,5,3,4,3.5,5,3.5,4
96,Top20,crid://www.tue.nl/3052,44,showtop20,96,crid://www.tue.nl/1383,37,crid://www.tue.nl/2959,36,crid://www.tue.nl/2342,36,crid://www.tue.nl/2723,35,crid://www.tue.nl/583,35,crid://www.tue.nl/1430,35,crid://www.tue.nl/1575,35,crid://www.tue.nl/557,35,crid://www.tue.nl/3721,35,crid://www.tue.nl/3860,35,crid://www.tue.nl/3905,35,crid://www.tue.nl/2557,35,crid://www.tue.nl/3052,35,crid://www.tue.nl/2679,35,crid://www.tue.nl/823,35,crid://www.tue.nl/3286,34,crid://www.tue.nl/1866,34,crid://www.tue.nl/2713,34,crid://www.tue.nl/3001,34,crid://www.tue.nl/578,34,5,5,5,4,6,4,5,5,5,1,5,2,5,4,0,4,2,2,1,2,5,1,5,3,1,0,1,3,1,,rating,Top20,1,0,20,0.06,0.05,0.13,1.01,0.04,0.09,-0.09,1.04,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3.73,4.5,0,0,0,4.98,0,0,0,2.36,0,0,1.29,0,0,0,0,0,0,0,13, f,23,5,6,3,5,4,5,3,4.5,4.5,4,4.333333333
167,Top20,crid://www.tue.nl/2710,42,showtop20,167,crid://www.tue.nl/810,41,crid://www.tue.nl/1958,40,crid://www.tue.nl/2710,40,crid://www.tue.nl/2555,39,crid://www.tue.nl/126,39,crid://www.tue.nl/3392,39,crid://www.tue.nl/2712,39,crid://www.tue.nl/2950,39,crid://www.tue.nl/1096,39,crid://www.tue.nl/1183,39,crid://www.tue.nl/3528,39,crid://www.tue.nl/2412,38,crid://www.tue.nl/266,38,crid://www.tue.nl/3844,38,crid://www.tue.nl/1959,38,crid://www.tue.nl/2477,38,crid://www.tue.nl/1998,38,crid://www.tue.nl/2368,38,crid://www.tue.nl/1975,38,crid://www.tue.nl/1981,38,5,4,5,5,5,1,5,1,5,2,2,2,4,5,1,5,4,2,1,2,1,1,5,5,5,2,3,5,1,,rating,Top20,1,0,20,0.32,-0.36,0.81,-0.67,0.32,-0.47,1,-0.9,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.56,0,5.48,1.31,2.11,2.74,0,0,0,4.69,0,0,0,0,0,0,0,0,3, f,28,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,Top20,crid://www.tue.nl/920,41,showtop20,160,crid://www.tue.nl/3629,40,crid://www.tue.nl/1947,40,crid://www.tue.nl/1207,39,crid://www.tue.nl/3095,39,crid://www.tue.nl/3134,39,crid://www.tue.nl/1941,39,crid://www.tue.nl/1035,39,crid://www.tue.nl/3462,39,crid://www.tue.nl/326,39,crid://www.tue.nl/3022,39,crid://www.tue.nl/969,39,crid://www.tue.nl/3822,39,crid://www.tue.nl/1096,39,crid://www.tue.nl/58,39,crid://www.tue.nl/1188,39,crid://www.tue.nl/2908,39,crid://www.tue.nl/920,39,crid://www.tue.nl/3307,39,crid://www.tue.nl/3545,39,crid://www.tue.nl/2018,39,6,5,5,5,6,3,5,5,5,1,5,1,5,4,2,2,3,4,1,4,2,1,5,5,4,1,1,6,1,,rating,Top20,1,0,20,0.51,0.29,-0.32,0.94,0.61,0.12,-0.37,1.05,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,0,4.08,2.46,3.74,2.53,2.83,7.07,1.76,1.68,2.35,2.02,1.11,2.48,9.34,1.13,7.07,2.97,2.51,6.54,1.44,0,17, f,28,21,6,2,3,3,2,5,4,3,3.5,3.5
150,Top5,crid://www.tue.nl/1035,33,showtop5,150,crid://www.tue.nl/1035,36,crid://www.tue.nl/920,36,crid://www.tue.nl/1941,35,crid://www.tue.nl/1947,35,crid://www.tue.nl/1416,35,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,5,5,4,5,2,5,4,4,2,4,1,2,4,1,3,3,2,1,2,1,1,3,3,5,2,3,2,1,,rating,Top5,0,0,5,0.11,-0.59,-0.19,-0.25,0.02,-0.68,0.01,-0.21,2,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,93.62,6.76,6.12,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1, f,22,14,4,1,4,2,7,6,2.5,3,6.5,4
118,Top20_NR,crid://www.tue.nl/2963,31,hidetop20,118,crid://www.tue.nl/3905,36,crid://www.tue.nl/670,36,crid://www.tue.nl/2557,36,crid://www.tue.nl/583,36,crid://www.tue.nl/557,35,crid://www.tue.nl/2342,35,crid://www.tue.nl/3338,35,crid://www.tue.nl/53,35,crid://www.tue.nl/2963,35,crid://www.tue.nl/1423,35,crid://www.tue.nl/567,35,crid://www.tue.nl/2931,35,crid://www.tue.nl/578,35,crid://www.tue.nl/3808,35,crid://www.tue.nl/615,35,crid://www.tue.nl/106,35,crid://www.tue.nl/1575,34,crid://www.tue.nl/3410,34,crid://www.tue.nl/3171,34,crid://www.tue.nl/1533,34,4,4,3,4,4,4,3,5,4,4,4,5,4,3,4,3,4,2,2,2,3,4,4,3,4,4,4,1,0,,no_rating,Top20,1,1,20,-1.35,0.02,-0.17,-0.21,-1.06,0.44,-0.25,-0.11,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9, f,21,2,3,2,5,3,3,4,2.5,4,3.5,3.333333333
101,Lin20_NR,crid://www.tue.nl/50,27,hideexp20,101,crid://www.tue.nl/1197,37,crid://www.tue.nl/318,37,crid://www.tue.nl/3114,36,crid://www.tue.nl/50,36,crid://www.tue.nl/527,36,crid://www.tue.nl/1233,35,crid://www.tue.nl/1907,34,crid://www.tue.nl/907,34,crid://www.tue.nl/705,33,crid://www.tue.nl/2579,33,crid://www.tue.nl/3936,33,crid://www.tue.nl/2318,33,crid://www.tue.nl/2993,33,crid://www.tue.nl/3727,33,crid://www.tue.nl/3143,32,crid://www.tue.nl/1567,32,crid://www.tue.nl/3546,32,crid://www.tue.nl/3251,32,crid://www.tue.nl/3298,32,crid://www.tue.nl/1482,32,5,5,5,4,4,1,4,1,6,0,5,4,2,0,3,0,2,4,3,2,1,1,1,0,6,2,5,6,0,,no_rating,Lin20,2,1,20,-0.04,0.39,-2.51,0.18,-0.27,0.02,-2.39,0.64,0,0,0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,0,8.99,0,1.17,1.05,0,0,0,0,0,2.64,0,1.66,1.27,0,0,1.78,1.39,4, m,22,10,3,1,5,3,3,6,2,4,4.5,3.5
110,Top20_NR,crid://www.tue.nl/296,26,hidetop20,110,crid://www.tue.nl/1198,38,crid://www.tue.nl/2571,38,crid://www.tue.nl/1240,38,crid://www.tue.nl/1196,38,crid://www.tue.nl/1214,38,crid://www.tue.nl/1200,38,crid://www.tue.nl/1036,38,crid://www.tue.nl/589,37,crid://www.tue.nl/3421,37,crid://www.tue.nl/2762,37,crid://www.tue.nl/50,37,crid://www.tue.nl/858,37,crid://www.tue.nl/296,37,crid://www.tue.nl/1197,37,crid://www.tue.nl/541,37,crid://www.tue.nl/593,37,crid://www.tue.nl/318,37,crid://www.tue.nl/3552,37,crid://www.tue.nl/1272,37,crid://www.tue.nl/1221,37,6,5,5,5,6,1,6,4,2,3,2,2,4,5,0,6,5,1,1,3,0,0,5,2,5,3,4,8,1,,no_rating,Top20,1,1,20,0.74,-0.83,1.34,-1.05,0.76,-0.95,1.57,-1.32,0,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,9.41,0,1.63,1.7,0,5.4,0,0,0,0,2.5,0,0,0,1.59,1.32,0,13, m,22,8,6,5,7,2,6,5,5.5,4.5,5.5,5.166666667
127,Top20_NR,crid://www.tue.nl/593,25,hidetop20,127,crid://www.tue.nl/858,47,crid://www.tue.nl/1221,44,crid://www.tue.nl/296,43,crid://www.tue.nl/318,43,crid://www.tue.nl/3338,43,crid://www.tue.nl/1213,42,crid://www.tue.nl/50,42,crid://www.tue.nl/593,42,crid://www.tue.nl/670,41,crid://www.tue.nl/1198,40,crid://www.tue.nl/3421,39,crid://www.tue.nl/1193,39,crid://www.tue.nl/2019,39,crid://www.tue.nl/3905,39,crid://www.tue.nl/923,39,crid://www.tue.nl/2931,39,crid://www.tue.nl/583,39,crid://www.tue.nl/1423,39,crid://www.tue.nl/1208,39,crid://www.tue.nl/922,38,5,5,5,5,5,4,5,2,5,2,4,2,4,4,1,4,2,2,1,2,1,1,5,6,5,4,4,5,1,,no_rating,Top20,1,1,20,0.21,-0.53,0.05,-0.02,0.23,-0.66,-0.03,0.04,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,2.17,0,0,1.95,0,0,0,0,6.37,0,0,1.05,0,1.77,0,0,0,0,2.78,5.09,8, f,25,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Top5_NR,crid://www.tue.nl/608,18,hidetop5,37,crid://www.tue.nl/858,42,crid://www.tue.nl/923,42,crid://www.tue.nl/2997,42,crid://www.tue.nl/608,42,crid://www.tue.nl/541,42,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,5,4,5,3,4,3,5,4,4,1,3,3,2,2,3,2,2,4,1,2,5,0,4,2,2,0,0,0,0,NULL,no_rating,Top5,0,1,5,-0.53,0.82,-1.04,-0.32,-0.63,0.28,-1,-0.24,2,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,26.77,14.65,36.21,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, f,36,13,4,3,3,6,2,2,3.5,4.5,2,3.333333333
163,Top20,crid://www.tue.nl/2571,1,showtop20,163,crid://www.tue.nl/2571,40,crid://www.tue.nl/296,40,crid://www.tue.nl/50,40,crid://www.tue.nl/858,40,crid://www.tue.nl/318,40,crid://www.tue.nl/1198,39,crid://www.tue.nl/593,39,crid://www.tue.nl/1213,39,crid://www.tue.nl/2959,39,crid://www.tue.nl/1196,39,crid://www.tue.nl/1221,38,crid://www.tue.nl/1197,38,crid://www.tue.nl/2858,38,crid://www.tue.nl/2762,38,crid://www.tue.nl/3338,38,crid://www.tue.nl/3421,38,crid://www.tue.nl/2791,38,crid://www.tue.nl/1517,38,crid://www.tue.nl/1923,38,crid://www.tue.nl/1208,38,5,5,5,5,6,6,6,5,5,1,4,2,4,5,1,4,4,2,1,2,1,1,4,4,3,3,2,7,1,,rating,Top20,1,0,20,0.32,-0.65,0.5,0.36,0.34,-0.72,0.64,0.39,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1.09,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,26.16,0,43.73,4.47,3.43,1, m,32,6,7,2,6,5,6,5,4.5,5.5,5.5,5.166666667
